Pressure_psi,Depth_ft,Temperature_F,Retarder_pct,Density_ppg,ThickeningTime_hr
5931.71,11321.21,215.74,2.111,12.45,12.54
3372.22,8900.43,163.83,1.426,14.69,10.61
2826.05,7120.01,226.74,0.179,12.04,8.6
4546.23,11705.04,216.45,1.285,13.05,10.32
2909.23,6874.36,217.07,2.405,16.6,10.97
7239.64,7057.52,275.82,2.029,16.66,10.08
3074.76,9154.51,195.19,1.92,13.11,12.48
2181.77,10894.73,242.78,0.588,17.41,7.67
5355.5,8137.47,233.22,1.968,17.03,10.25
4572.84,6458.03,242.19,1.231,15.96,9.75
7151.58,8918.61,171.13,0.707,15.44,10.34
2964.99,10475.87,266.74,0.239,12.62,8.24
4162.12,7991.72,199.14,0.207,13.06,8.73
5843.06,12803.92,158.82,1.294,13.96,10.49
7586.48,14080.72,290.1,1.921,16.48,9.52
3570.81,7753.29,230.78,0.688,12.13,9.23
6128.59,13183.86,163.55,2.302,17.5,11.88
2894.32,7808.88,179.67,1.582,16.39,10.61
6440.93,10763.53,213.55,2.29,16.44,12.06
3759.09,5883.18,200.61,0.823,14.85,8.34
3462.47,14131.91,209.45,0.244,16.95,8.64
3378.93,5330.49,203.63,1.936,14.04,12.06
4223.91,13844.94,165.44,1.926,16.74,11.31
3971.33,11696.74,292.84,2.215,15.75,9.92
5675.85,6441.99,228.64,2.201,14.54,12.07
5268.29,8694.9,231.71,0.503,12.9,9.35
6497.86,9121.58,221.39,1.895,12.41,11.82
3769.73,11182.2,167.07,0.758,13.49,10.08
7763.32,5066.83,212.45,1.774,14.78,11.68
5260.9,6954.35,191.15,0.917,14.22,9.82
6076.54,13878.04,216.72,0.775,16.72,9.25
6129.56,8294.53,252.04,2.423,14.65,11.42
2913.79,7531.54,251.9,0.869,15.93,8.73
2870.15,11659.28,251.46,1.973,12.95,11.13
4772.26,10880.36,291.7,1.352,12.32,9.63
5131.6,12079.59,176.04,1.235,17.34,10.73
3632.27,8697.95,219.04,0.74,13.16,9.9
3080.73,5744.42,169.63,2.071,16.77,12.03
5023.53,6291.89,252.94,1.002,17.33,9.48
5957.83,6892.07,269.95,2.25,14.42,11.15
3372.53,7230.24,216.54,0.787,14.0,8.96
3310.51,11756.23,253.24,1.275,13.94,9.54
7729.39,9740.7,187.79,0.672,12.36,10.41
6349.36,13910.79,250.21,0.729,17.05,7.9
2206.02,9202.07,289.68,0.113,15.86,6.86
7889.7,12428.17,225.11,2.321,13.55,12.49
2050.98,6922.39,169.19,2.388,17.7,11.66
3589.77,5694.72,220.38,2.331,16.25,12.29
7503.94,14921.84,226.31,1.945,17.48,10.15
2482.33,6329.83,204.89,1.849,17.63,11.04
7128.29,12277.92,280.23,2.128,16.53,9.76
2868.06,13975.06,182.94,1.716,15.45,11.21
3075.45,14012.48,180.39,1.167,14.89,10.35
6708.04,14308.95,230.03,0.855,16.23,7.67
7372.54,14322.85,264.66,0.413,17.33,7.38
4764.41,12766.97,293.42,0.962,15.77,8.53
2230.9,5134.58,203.39,0.632,17.04,9.12
3891.83,6923.96,274.6,1.745,13.0,11.06
2091.76,13409.02,232.82,1.766,17.58,9.12
4095.04,12847.48,221.26,1.827,15.25,11.28
5955.86,11734.98,216.86,1.249,15.16,9.7
3591.3,12055.49,278.61,1.969,16.1,10.28
5912.11,10349.71,279.24,0.577,16.37,8.27
7564.88,6689.87,177.0,0.118,15.19,8.0
4796.83,6079.38,275.29,1.311,17.93,9.13
3242.66,14887.23,263.94,1.002,15.79,8.57
7536.29,13156.48,211.14,1.579,17.25,10.0
7675.14,5406.93,240.83,2.426,15.35,12.46
2809.43,11476.89,218.94,1.562,14.47,10.24
7397.83,13300.95,223.95,1.836,14.15,11.12
3752.9,7713.52,224.85,0.654,14.72,9.28
2769.05,12593.64,185.46,1.526,17.04,9.91
2708.46,5777.5,242.57,0.323,13.09,8.81
6556.7,7833.9,169.86,0.851,14.92,10.42
2530.66,14976.89,207.88,2.143,13.53,12.1
6578.91,11846.09,199.28,1.515,16.99,10.0
3437.71,7627.48,168.68,0.428,16.85,8.77
4512.7,7305.36,269.66,0.173,12.22,8.16
2858.11,5203.88,193.66,1.157,15.88,10.0
5916.02,10416.82,298.17,0.619,16.55,7.27
4746.72,14319.29,229.33,0.609,14.9,8.69
4362.98,11606.78,269.65,1.847,17.56,8.45
6828.04,11276.95,287.61,1.557,15.5,10.04
4754.09,8805.94,299.58,1.951,12.78,10.2
6149.41,12146.51,291.12,1.053,17.1,7.95
6691.93,12434.82,264.73,0.441,16.35,8.04
5689.29,13574.41,297.28,0.644,12.51,7.99
7768.35,14822.06,175.19,1.87,14.79,11.9
5305.27,11104.28,285.04,2.138,14.01,12.11
3314.08,5802.17,234.31,1.834,17.67,9.92
5251.28,7020.55,150.55,0.629,15.24,9.35
3467.34,7880.78,160.57,2.055,12.51,12.78
2499.96,14938.38,257.58,0.235,15.13,7.51
6538.17,11954.67,211.72,1.58,16.38,10.2
3586.99,10970.0,230.46,2.267,13.86,12.89
3881.84,7370.7,246.6,1.054,12.71,10.29
7930.06,9641.46,208.43,0.949,16.99,8.68
4403.35,14581.39,178.58,2.321,13.02,13.17
4647.87,8400.93,266.78,1.688,17.77,10.66
7523.59,8625.63,180.82,2.272,16.55,12.32
6740.4,8320.18,240.55,0.482,15.15,8.46
7156.89,8394.93,268.49,1.977,15.32,10.97
4810.14,5332.46,224.77,1.362,13.66,11.36
3275.02,12795.95,251.23,0.239,17.95,7.14
2393.83,12760.49,284.14,1.525,17.68,8.47
2478.88,14502.43,255.07,2.309,17.33,10.33
2821.94,5301.81,173.43,1.265,17.76,10.78
3616.09,8048.35,282.03,0.366,13.59,7.67
6664.24,7328.13,219.94,2.381,13.78,12.12
3377.16,14353.67,215.26,0.389,17.06,8.12
4530.76,9366.06,293.08,1.994,17.24,10.0
4748.82,11939.05,182.97,1.256,16.09,10.4
3858.12,5743.23,261.38,2.197,16.59,11.59
3062.07,9246.02,195.06,1.168,17.47,9.99
3608.18,5526.07,244.81,0.963,13.83,10.01
7114.13,14586.61,222.49,1.386,13.6,10.48
7964.43,8145.39,249.47,1.051,15.26,8.33
4224.05,14978.2,267.71,0.718,16.34,7.52
4770.51,6779.77,248.82,0.529,15.82,9.59
4009.93,6996.39,178.72,2.257,16.73,12.63
4192.63,12465.54,202.73,0.96,15.24,9.58
6123.04,6856.54,185.7,1.749,15.98,11.41
6411.96,9546.53,173.2,2.475,14.66,12.7
3902.23,8748.56,291.44,2.298,14.51,11.46
2870.12,13911.51,217.0,1.664,15.55,9.98
6245.16,14687.64,157.41,2.443,13.57,13.56
4636.35,12382.01,158.68,0.287,13.63,10.21
7497.77,12041.45,182.23,1.658,16.58,11.06
4456.0,7385.6,191.31,1.539,14.04,11.59
2166.29,5495.38,276.64,0.434,15.49,7.26
6356.83,10115.83,271.76,0.843,17.96,7.24
7914.69,5146.7,193.96,2.201,17.27,11.49
4798.17,10788.76,226.58,0.648,17.27,8.14
7715.9,9748.24,254.17,1.098,16.82,9.16
2975.54,7278.47,243.76,0.518,16.75,7.11
3277.16,11007.6,249.41,2.224,12.97,11.48
4049.07,6406.56,205.55,0.934,12.7,10.25
4435.68,8553.42,185.28,1.905,16.62,11.48
7396.75,5239.58,221.89,0.579,12.56,9.59
7835.06,14150.73,228.34,0.293,14.07,8.06
5061.27,12504.27,279.54,1.646,15.33,9.92
6180.47,11926.53,226.49,1.579,12.78,11.88
5765.71,11287.66,159.99,1.299,13.11,10.89
7163.2,13721.57,248.75,1.775,14.98,10.85
2646.69,6313.71,258.48,2.01,15.51,11.11
5370.05,11639.75,270.66,1.654,12.79,10.05
6849.98,8810.82,227.87,2.319,12.36,13.56
6645.36,13135.18,235.18,1.08,17.71,7.92
6604.77,11749.31,274.5,0.609,17.24,8.55
7887.2,7967.28,286.84,1.412,16.12,8.99
2169.82,11562.29,263.56,1.475,16.02,10.21
2636.59,9264.69,245.58,0.912,16.58,8.69
2919.98,5670.94,233.39,0.431,15.49,7.79
5485.29,6435.71,162.56,1.773,12.01,12.28
4585.02,8846.37,228.48,1.904,13.45,11.61
2384.78,13710.84,272.79,0.702,14.47,7.42
3675.1,6852.62,256.55,1.978,17.65,10.64
4344.56,11998.69,297.54,1.691,12.2,10.52
5035.23,11095.24,252.22,1.987,13.68,10.86
6534.43,13013.35,297.22,2.339,17.79,9.39
4934.14,10829.01,211.19,0.553,17.02,7.71
6954.37,12229.6,236.29,0.612,12.68,9.02
5242.81,5007.32,280.81,1.664,14.14,10.31
4143.1,10600.74,285.08,1.525,17.71,9.36
6835.86,8376.91,276.21,1.581,13.44,10.6
3118.27,12762.39,258.77,1.554,12.2,10.52
7335.73,11341.67,243.65,2.276,16.35,11.92
6040.48,9451.75,222.92,1.678,14.45,10.39
7720.26,9070.86,205.18,0.536,16.46,8.17
3259.06,13272.32,244.69,0.816,13.95,8.31
3396.47,13150.47,180.99,2.186,16.74,11.35
4739.35,13729.88,164.07,1.276,15.9,10.13
2892.53,12400.57,212.36,2.469,13.6,13.31
2238.36,9097.8,250.66,0.416,17.92,6.76
4111.45,6843.24,221.85,0.953,16.95,8.9
6506.44,12038.22,202.36,0.782,17.98,8.76
7333.91,7566.09,201.61,1.124,15.91,10.34
3399.99,13809.32,240.92,2.409,15.07,11.7
7665.82,5623.96,247.6,2.426,15.18,10.8
2475.43,9486.48,196.74,1.33,13.81,11.06
2469.75,5408.41,265.49,0.574,17.63,6.81
6232.28,9211.81,164.08,2.33,12.18,13.83
2406.82,7803.29,177.11,1.656,16.12,11.03
7823.88,13872.12,292.67,1.439,13.4,9.76
3645.26,7391.42,248.57,0.335,12.29,8.75
2772.34,12705.62,181.25,2.157,14.09,12.01
6610.73,7362.12,189.11,1.821,14.18,11.94
4534.71,11240.73,285.91,0.361,13.84,6.96
7400.45,11489.16,154.06,0.578,16.88,9.41
4954.75,5454.07,173.15,0.913,12.19,11.28
2047.9,7148.63,160.81,0.957,13.54,11.63
2980.06,7826.03,277.56,2.408,16.83,10.59
2596.31,5937.62,245.66,0.766,12.73,9.52
3088.1,11048.66,179.23,0.968,14.38,9.89
3623.41,9194.2,280.79,1.365,12.05,11.28
2452.27,5517.3,268.09,1.495,12.09,10.5
7273.55,6354.26,254.5,0.438,17.15,8.02
6039.76,6248.07,210.97,2.344,17.69,10.73
4663.86,5692.87,193.73,1.542,13.28,11.85
7392.28,6033.21,233.33,1.823,17.8,9.07
5670.01,14055.78,260.57,0.121,13.25,7.8
6090.33,11598.56,279.09,0.266,17.58,6.85
6275.87,7450.48,244.25,0.954,13.9,9.59
4636.78,10063.22,272.64,2.42,16.82,10.91
3758.99,5152.41,170.1,1.51,17.87,11.03
7320.55,11562.27,240.11,1.002,13.99,10.12
4214.52,14636.43,190.5,1.072,16.44,9.3
4620.77,9104.12,274.48,0.426,13.13,7.91
3657.64,9464.84,177.23,1.892,12.39,12.01
5321.87,14160.83,265.27,1.179,14.03,9.25
5228.86,9570.88,201.36,0.584,15.49,8.24
4590.4,10268.46,253.4,1.341,15.89,10.08
4119.67,12261.28,173.81,1.436,16.33,10.76
5250.46,12940.57,164.17,1.41,14.0,11.13
4292.35,11147.31,295.56,1.201,12.3,10.12
6674.59,6431.09,235.64,2.085,13.92,11.53
2920.47,9000.1,238.87,0.637,14.03,9.2
6322.77,11881.76,173.94,1.268,14.72,11.32
3252.01,5415.57,297.66,2.063,12.13,11.42
7592.15,10536.32,265.01,1.267,15.13,8.61
4309.95,5221.81,245.92,1.13,12.1,10.11
3942.68,14074.5,182.55,1.809,12.74,12.83
7405.86,6387.09,221.89,1.807,14.44,10.89
2284.26,14490.94,168.58,2.183,13.49,12.96
7865.81,13639.75,202.98,2.057,12.28,12.92
7572.12,5952.62,182.88,0.514,15.55,8.87
5987.77,9854.77,285.98,0.704,16.53,7.56
5417.6,7481.68,188.63,0.718,13.75,10.02
5146.12,14758.29,273.16,2.072,16.47,10.26
2500.5,5793.79,185.18,1.901,13.94,12.09
2544.69,14035.22,177.34,2.261,16.89,11.11
6143.87,7015.88,170.58,0.614,15.37,8.92
7747.81,9171.92,158.29,1.663,13.17,11.74
5061.5,7189.73,287.35,0.226,13.07,9.08
2006.11,10292.77,192.72,1.928,12.81,11.69
6973.05,12843.57,213.68,1.317,16.89,9.93
6983.16,5502.25,258.19,1.25,13.41,10.56
4019.07,11314.85,239.13,2.023,16.21,10.88
6078.91,13305.12,278.98,0.58,14.27,7.96
2849.5,14239.27,286.44,1.881,13.9,11.01
2979.43,13593.01,253.35,0.983,15.94,8.98
6268.6,11341.22,285.06,2.489,14.68,11.97
5059.56,6981.67,225.99,1.48,17.12,9.67
5533.55,10555.35,272.23,1.475,12.85,10.23
5142.24,13327.66,174.2,1.87,14.65,11.67
7642.81,14183.1,276.36,2.371,15.48,10.85
6732.15,11821.41,174.46,1.123,15.95,9.0
7394.74,7691.36,290.72,2.447,17.57,10.76
3749.68,11255.24,201.35,0.243,14.05,8.27
7877.66,6104.66,193.83,0.331,12.15,9.86
6912.67,8139.81,265.07,2.259,16.49,9.96
2597.4,13852.8,169.06,0.952,15.68,10.49
2522.64,8965.15,212.77,1.521,17.2,9.74
3149.13,10801.04,185.27,2.267,16.81,11.94
4018.25,6643.69,227.71,0.142,17.96,6.36
3316.63,12976.67,194.19,1.882,17.49,11.72
2311.04,9148.0,161.18,0.466,14.79,9.1
4670.08,8920.06,162.73,2.095,16.01,13.26
3575.07,9649.78,297.76,1.93,15.24,8.99
4776.02,7403.0,286.93,1.284,17.76,8.59
6700.92,9688.47,295.16,0.512,12.84,8.35
3930.64,11958.68,298.95,2.106,13.22,10.78
2241.82,13930.37,291.61,0.369,12.14,8.43
7007.23,7119.87,293.72,1.941,15.59,10.82
4941.91,11639.37,165.32,1.453,17.44,10.55
3464.89,8699.03,231.0,1.789,14.28,11.14
7569.54,9766.83,232.71,0.44,15.96,8.34
6411.17,13261.51,155.05,1.367,14.44,11.84
4530.22,8684.09,224.47,1.488,17.24,8.96
4082.74,13414.62,153.97,0.826,14.44,11.28
2426.31,6804.89,288.17,2.234,13.87,10.84
3713.91,6034.94,270.12,1.381,14.72,9.34
6294.98,5715.95,174.21,1.167,14.84,11.4
2453.81,11192.75,182.4,0.765,14.16,10.13
4258.87,5973.07,235.68,0.485,16.2,8.35
5549.43,9548.57,216.62,2.08,13.64,11.94
6439.74,7511.72,187.41,1.037,17.85,9.63
6456.94,8521.84,229.43,0.9,14.92,9.11
3755.65,5740.95,266.97,0.562,13.78,8.22
3975.45,12800.72,151.31,2.408,14.09,13.37
2944.09,13600.78,215.74,1.572,17.03,9.1
6375.73,11240.88,272.38,0.483,14.2,8.54
3592.82,13433.83,274.63,0.62,17.84,7.3
4882.54,12185.29,254.89,1.325,15.01,9.03
7398.36,12294.9,223.4,1.833,17.64,10.11
2038.57,13768.18,198.24,2.296,15.82,11.5
7140.16,6423.6,167.86,2.207,14.12,13.62
6439.09,9206.09,290.12,2.327,16.22,9.68
5870.91,5429.22,209.81,2.162,15.16,12.22
4442.46,13753.73,183.13,0.555,17.8,8.98
5744.11,12397.96,191.86,1.684,14.79,10.7
7691.58,7028.3,246.58,1.825,13.49,11.67
2571.7,12917.87,200.81,1.595,14.04,10.74
2406.63,9992.13,157.0,0.724,16.22,9.58
4042.98,9239.88,246.06,0.705,17.46,7.5
2618.34,13250.94,217.99,1.959,15.1,12.23
7506.54,5365.76,178.64,1.476,16.57,10.83
6724.27,9360.67,255.87,1.831,12.27,11.78
2950.51,13630.49,179.95,0.258,12.81,9.14
4241.76,12886.05,200.82,0.478,12.52,9.48
4492.35,13826.74,276.08,0.412,17.88,6.16
7726.54,7153.37,264.55,0.2,17.61,6.79
3975.32,11099.48,216.4,1.2,16.76,9.15
4881.25,6444.46,273.26,1.608,14.33,10.03
5173.77,12119.06,198.69,2.017,14.91,12.11
6690.82,9986.87,196.22,1.013,15.78,10.65
7208.27,8204.14,293.51,1.876,15.66,9.51
6024.65,10080.45,284.98,2.192,16.51,9.92
4179.98,5657.29,286.18,0.794,16.86,7.78
3374.28,13612.01,287.1,1.678,16.67,8.7
4388.45,10004.01,243.89,2.076,12.43,12.47
5455.03,14865.66,153.7,1.175,14.34,10.75
6601.53,11931.03,167.68,0.782,16.18,9.71
7756.98,5378.46,206.04,2.351,14.91,12.83
7240.41,7593.45,173.41,2.245,14.9,12.53
6726.66,6692.44,223.94,0.563,13.89,9.78
7403.96,13698.6,286.31,1.25,14.18,9.15
6176.3,7279.18,175.77,0.103,13.79,8.82
7672.94,13864.17,246.75,0.394,13.79,8.5
5081.29,14014.92,258.37,1.523,13.26,11.05
2546.45,7481.96,187.48,0.283,14.37,9.11
6377.13,7819.47,176.57,0.311,12.01,9.36
7690.87,6599.58,163.58,0.986,13.9,10.45
2186.24,7542.84,190.37,1.876,16.81,10.4
5732.56,8408.3,162.65,0.976,16.85,9.65
3828.61,11069.98,227.73,1.84,15.44,10.08
4425.09,14141.97,255.7,0.945,14.59,8.58
7508.59,13865.95,231.93,0.91,17.64,8.84
4006.34,14825.5,202.77,0.566,17.34,8.5
5754.88,9495.5,243.17,2.475,13.41,12.12
4540.39,10888.18,262.72,2.384,15.97,11.31
7560.99,5783.58,217.75,2.053,14.4,12.64
4212.06,9856.3,210.85,0.946,12.45,10.89
2596.28,10707.92,242.29,1.081,12.67,10.61
4513.99,8383.9,211.26,0.663,15.96,8.13
4430.71,11421.81,224.56,2.027,15.22,11.84
7312.27,8441.37,187.91,1.005,17.78,9.57
3988.49,13532.92,170.11,1.803,13.22,11.64
3764.03,5371.28,293.52,1.809,13.06,9.95
4442.19,5182.0,296.43,0.689,12.58,8.53
6146.06,10922.75,192.92,0.325,13.62,9.41
4533.88,11478.54,183.72,1.709,13.7,12.51
5132.32,10326.73,215.49,0.786,13.42,10.26
6261.31,11908.36,214.65,1.323,12.52,10.99
2160.79,7207.03,254.68,0.506,13.16,9.25
2798.96,7778.93,270.39,1.96,15.17,10.2
6350.69,9051.49,287.79,0.647,15.64,8.87
7443.05,8708.43,198.09,1.793,14.36,11.5
7202.16,5627.89,235.55,2.316,16.55,12.29
6243.22,7591.74,249.72,0.688,14.89,9.22
7891.13,13658.77,187.67,2.162,16.95,11.51
7117.43,11323.63,240.08,2.247,14.18,12.36
6162.52,7939.87,151.72,2.214,13.59,12.78
5840.73,12818.69,185.04,1.461,15.47,9.79
7118.79,9203.33,190.72,1.261,14.77,10.28
7280.94,6090.67,239.46,2.071,16.84,9.99
3644.23,6359.62,178.83,1.051,13.71,10.27
7124.11,5845.6,298.17,2.148,12.3,10.87
5529.24,6525.26,215.33,0.707,14.73,9.45
2001.12,8848.27,230.19,2.346,16.19,13.23
3182.6,6495.8,241.12,0.623,16.86,8.27
6677.59,8903.85,275.66,1.443,17.57,9.21
4053.14,13697.49,262.71,2.279,17.16,10.45
7058.37,14482.47,233.13,2.254,17.6,10.98
5616.04,10271.91,226.69,1.245,12.69,10.96
7919.93,12729.32,204.71,2.346,12.71,12.51
6583.13,11149.12,169.38,1.461,16.1,10.71
2558.27,5235.58,178.67,1.188,13.9,10.93
7026.73,10061.97,169.88,2.304,17.92,12.55
5983.47,10086.72,282.83,0.315,16.66,6.39
3320.74,14273.44,171.26,0.234,15.21,8.4
5100.83,14075.2,171.23,0.961,15.96,8.86
2962.11,13827.27,152.07,2.457,12.44,13.74
4238.28,9738.54,270.9,0.518,14.94,7.97
6468.73,13761.43,156.03,1.67,12.69,11.5
4720.2,10198.77,248.03,1.987,16.27,9.7
5968.75,5158.59,221.25,1.766,14.63,10.85
7396.07,11268.73,210.65,0.218,15.49,8.17
6209.15,5165.47,272.15,0.289,16.52,6.77
2552.34,12520.49,161.6,1.513,15.99,11.32
4474.84,6369.28,193.17,1.065,13.0,10.27
3896.8,7145.62,184.29,0.527,16.81,8.85
4870.71,14841.9,190.47,1.81,13.01,12.44
7381.09,9237.16,194.22,0.531,17.84,8.09
4057.4,6325.3,249.57,2.251,17.63,10.62
6448.58,14158.18,242.59,1.86,14.74,10.61
4809.66,11475.04,238.38,0.655,14.8,8.1
7026.31,5060.23,287.06,0.258,14.76,6.87
3414.2,5303.6,246.25,0.728,15.98,8.32
5140.73,5607.42,282.6,1.117,16.39,7.86
5790.87,14413.05,266.16,0.169,14.92,6.4
4260.2,14637.79,158.65,0.918,15.96,10.14
5381.02,14750.51,184.51,2.423,17.2,12.2
3780.43,8041.9,194.86,2.01,17.97,10.81
7924.55,8201.08,239.57,0.252,12.31,9.14
6123.56,13541.16,172.37,2.461,16.66,12.44
5776.76,12237.41,170.66,0.269,15.61,8.26
7607.29,8462.61,178.96,2.258,14.8,12.58
4644.04,6447.29,198.88,2.422,15.66,12.04
7887.62,14920.23,298.21,0.554,17.92,6.3
2540.08,8216.62,286.06,0.168,13.56,8.16
7929.27,11375.03,215.38,0.692,15.04,8.69
6318.15,9651.05,245.89,1.775,15.87,9.84
5479.64,9459.7,173.02,2.446,17.4,12.47
4138.92,5579.8,168.69,2.078,13.33,12.3
3218.52,5501.0,158.76,2.217,12.48,13.44
7895.35,14619.1,283.42,0.967,17.12,8.72
3411.33,14521.33,194.83,0.163,16.89,7.86
7280.65,9377.42,207.93,2.289,12.09,13.15
2342.28,8973.38,215.43,1.724,14.85,11.84
6807.59,14230.45,264.55,0.869,13.31,8.8
7217.51,5027.45,166.45,1.887,16.06,11.62
3469.47,12262.58,274.09,1.619,14.2,10.31
7861.72,11208.44,257.77,0.141,15.78,7.06
4230.99,9954.27,217.27,2.024,14.93,11.61
2950.14,13950.59,176.85,0.795,12.69,11.06
4516.94,8817.91,293.43,0.186,13.19,8.24
7833.95,11448.94,174.38,1.626,17.13,10.78
2680.95,11848.6,229.2,0.472,13.29,9.23
6157.83,12185.96,237.87,1.133,12.61,10.62
2816.55,7954.48,157.05,1.822,15.03,12.19
6111.78,12701.51,224.91,2.002,17.76,10.29
2925.32,9666.2,211.46,2.474,12.22,12.88
7662.5,7167.16,240.12,0.152,15.08,7.58
7482.27,11589.62,277.69,2.067,15.19,10.5
7906.48,5032.81,263.25,0.571,13.3,8.7
7270.49,8997.81,184.33,2.212,13.73,13.64
4315.52,9975.4,208.77,1.984,12.96,12.29
4794.82,6508.48,290.62,2.235,12.31,11.96
3883.34,7605.83,184.28,1.15,12.8,10.6
4953.0,11709.12,272.88,0.409,13.2,7.72
3427.4,6536.04,156.47,0.317,13.11,11.28
7760.35,7701.45,259.21,0.953,17.1,8.55
4507.12,8056.87,297.86,1.421,15.68,8.41
4016.13,11385.27,203.47,2.281,12.94,13.12
7611.65,12999.89,206.13,0.615,16.66,9.41
4085.19,6331.78,273.2,0.476,14.18,7.92
4528.99,10443.61,274.64,1.846,12.74,11.36
5767.57,13741.32,205.77,1.408,14.83,10.34
6383.34,7340.71,225.84,1.671,15.3,10.98
4554.01,8258.69,209.9,2.495,13.6,11.74
3333.55,13214.94,157.9,1.464,13.39,12.22
